STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
        403;17341201;17341231;    5;  -999;   0.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350101;17350131;    5;  -999;   2.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350201;17350228;    5;  -999;   1.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350301;17350331;    5;  -999;   5.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350401;17350430;    5;  -999;  10.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350501;17350531;    5;  -999;  12.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350601;17350630;    5;  -999;  15.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350701;17350731;    5;  -999;  15.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350801;17350831;    5;  -999;  15.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17350901;17350930;    5;  -999;  15.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17351001;17351031;    5;  -999;   6.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17351101;17351130;    5;  -999;   2.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17351201;17351231;    5;  -999;   1.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360101;17360131;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360201;17360229;    5;  -999;  -0.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360301;17360331;    5;  -999;   2.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360401;17360430;    5;  -999;   9.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360501;17360531;    5;  -999;  12.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360601;17360630;    5;  -999;  14.90;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360701;17360731;    5;  -999;  17.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360801;17360831;    5;  -999;  17.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17360901;17360930;    5;  -999;  12.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17361001;17361031;    5;  -999;   8.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17361101;17361130;    5;  -999;   3.80;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17361201;17361231;    5;  -999;   3.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370101;17370131;    5;  -999;   2.00;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370201;17370228;    5;  -999;   1.60;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370301;17370331;    5;  -999;   5.30;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370401;17370430;    5;  -999;   6.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        403;17370501;17370531;    5;  -999;  14.20;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
